entry_date,entry_price,exit_date,exit_price,reason,code,name,net_ret
2026-04-21,95900.0,2026-04-22,122511.0,trailing_stop,036930,주성엔지니어링,0.27518696558915534
2026-04-21,7000.0,2026-04-21,6486.0,hard_stop_5MA,253840,수젠텍,-0.07572857142857142
2026-04-21,6870.0,2026-04-21,6438.0,hard_stop_5MA,054920,한컴위드,-0.065182096069869
2026-04-21,9950.0,2026-04-22,9138.0,hard_stop_5MA,158430,아톤,-0.08390804020100502
2026-04-21,15250.0,2026-04-22,18168.1,trailing_stop,010820,퍼스텍,0.18905081967213105
2026-04-21,38800.0,2026-04-22,39721.5,trailing_stop,067310,하나마이크론,0.02145
2026-04-21,26950.0,2026-04-21,25080.0,hard_stop_5MA,456010,아이씨티케이,-0.07168775510204081
2026-04-21,123700.0,2026-04-22,125324.0,trailing_stop,000990,DB하이텍,0.0108285367825384
2026-04-21,85700.0,2026-04-22,81680.0,hard_stop_5MA,489790,한화비전,-0.049207817969661616
2026-04-21,6270.0,2026-04-21,5690.0,hard_stop_5MA,209640,와이제이링크,-0.09480398724082935
2026-04-22,30350.0,2026-04-23,34289.5,trailing_stop,010140,삼성중공업,0.12750230642504118
2026-04-22,17550.0,2026-04-23,17411.5,trailing_stop,222080,씨아이에스,-0.010191737891737891
2026-04-22,49000.0,2026-04-24,55581.0,trailing_stop,077970,STX엔진,0.1320061224489796
2026-04-22,46150.0,2026-04-23,44680.0,hard_stop_5MA,080220,제주반도체,-0.03415265438786566
2026-04-22,42000.0,2026-04-23,42292.0,trailing_stop,006360,GS건설,0.004652380952380952
2026-04-22,54500.0,2026-04-23,58879.0,trailing_stop,073490,LIG아큐버,0.07804862385321101
2026-04-22,225000.0,2026-04-23,233770.0,trailing_stop,443060,HD현대마린솔루션,0.03667777777777778
2026-04-22,130100.0,2026-04-23,118340.0,hard_stop_5MA,457190,이수스페셜티케미컬,-0.09269200614911606
2026-04-22,420000.0,2026-04-23,410310.0,trailing_stop,005490,POSCO홀딩스,-0.025371428571428573
2026-04-22,257000.0,2026-04-23,243900.0,hard_stop_5MA,003670,포스코퓨처엠,-0.05327276264591439
2026-04-22,135200.0,2026-04-22,130100.0,hard_stop_5MA,096770,SK이노베이션,-0.040021893491124255
2026-04-22,491500.0,2026-04-23,478210.0,trailing_stop,373220,LG에너지솔루션,-0.029339674465920652
2026-04-22,222500.0,2026-04-23,212900.0,hard_stop_5MA,247540,에코프로비엠,-0.04544606741573033
2026-04-22,71500.0,2026-04-23,70810.0,trailing_stop,107640,한중엔시에스,-0.01195034965034965
2026-04-22,686000.0,2026-04-23,665420.0,trailing_stop,006400,삼성SDI,-0.032299999999999995
2026-04-22,59400.0,2026-04-23,69064.0,trailing_stop,082740,한화엔진,0.1603936026936027
2026-04-22,798000.0,2026-04-23,791520.0,trailing_stop,009150,삼성전기,-0.0104203007518797
2026-04-22,31850.0,2026-04-23,35114.0,trailing_stop,047040,대우건설,0.10018037676609105
2026-04-23,15800.0,2026-04-23,14708.0,hard_stop_5MA,034220,LG디스플레이,-0.0714139240506329
2026-04-24,8170.0,2026-04-25,9554.5,trailing_stop,006340,대원전선,0.16716144430844554
2026-04-24,123000.0,2026-04-25,124111.5,trailing_stop,034020,두산에너빌리티,0.006736585365853658
2026-04-24,316500.0,2026-04-26,311500.0,time_cut,028260,삼성물산,-0.01809778830963665
2026-04-24,11870.0,2026-04-25,11931.0,trailing_stop,006910,보성파워텍,0.002839005897219882
2026-04-24,3292000.0,2026-04-25,3480360.0,trailing_stop,298040,효성중공업,0.05491749696233293
