entry_date,entry_price,exit_date,exit_price,reason,code,name,marcap,entry_vol,marcap_tier,vol_tier
2026-05-15,119500.0,2026-05-18,109285.71428571429,stop_loss,180640,한진칼,7423965424800.0,0.026544701410619462,대형,중변동
2026-05-24,119200.0,2026-05-27,111200.0,holding_limit,180640,한진칼,7423965424800.0,0.03683893658479202,대형,고변동
2026-05-15,102100.0,2026-05-18,94792.85714285714,stop_loss,326030,SK바이오팜,7369276825000.0,0.015797972113732663,대형,저변동
2026-04-13,1259000.0,2026-04-23,1344000.0,holding_limit,003230,삼양식품,9318339555000.0,0.030131064077427043,대형,중변동
2026-05-04,1390000.0,2026-05-07,1282142.857142857,stop_loss,003230,삼양식품,9318339555000.0,0.02000638525005185,대형,저변동
2026-04-18,98000.0,2026-04-28,93700.0,holding_limit,000100,유한양행,6785975605200.0,0.02542125514583587,대형,중변동
2026-05-26,89600.0,2026-05-27,85200.0,holding_limit,000100,유한양행,6785975605200.0,0.024031241824190662,대형,중변동
2026-05-22,549000.0,2026-05-27,513000.0,holding_limit,006260,LS,16005600000000.0,0.054190433109358144,대형,고변동
2026-04-20,133000.0,2026-04-27,148600.0,take_profit,090430,아모레퍼시픽,6808557147600.0,0.020779269037978262,대형,저변동
2026-04-12,185400.0,2026-04-21,222057.14285714284,take_profit,443060,HD현대마린솔루션,10692780210000.0,0.03473141865249409,대형,중변동
2026-05-26,243000.0,2026-05-27,238500.0,holding_limit,443060,HD현대마린솔루션,10692780210000.0,0.04256670484459271,대형,고변동
2026-05-09,64800.0,2026-05-12,58814.28571428572,stop_loss,161390,한국타이어앤테크놀로지,7705029291800.0,0.03030641567221267,대형,중변동
2026-05-18,61900.0,2026-05-27,62200.0,holding_limit,161390,한국타이어앤테크놀로지,7705029291800.0,0.03027739690699334,대형,중변동
2026-04-17,195100.0,2026-04-27,206000.0,holding_limit,141080,리가켐바이오,6026761250400.0,0.04664479481840135,대형,고변동
2026-05-14,199500.0,2026-05-18,174842.85714285713,stop_loss,141080,리가켐바이오,6026761250400.0,0.03396274029079311,대형,중변동
2026-04-17,98100.0,2026-04-27,109500.0,holding_limit,214370,케어젠,5011609500000.0,0.061397881992719186,대형,고변동
2026-04-13,54300.0,2026-04-23,54500.0,holding_limit,029780,삼성카드,5393231376050.0,0.01756186430456708,대형,저변동
2026-04-12,122100.0,2026-04-22,119100.0,holding_limit,240810,원익IPS,5512122082300.0,0.05692215462460273,대형,고변동
2026-05-07,130600.0,2026-05-15,119142.85714285714,stop_loss,240810,원익IPS,5512122082300.0,0.026531825847713318,대형,중변동
2026-04-29,62600.0,2026-05-09,58200.0,holding_limit,028300,HLB,6793109373000.0,0.033626517230953556,대형,중변동
2026-04-18,540000.0,2026-04-23,485214.28571428574,stop_loss,128940,한미약품,6206925139500.0,0.03298482690380279,대형,중변동
2026-05-17,455000.0,2026-05-27,484500.0,holding_limit,128940,한미약품,6206925139500.0,0.027618532113094178,대형,중변동
2026-05-16,16900.0,2026-05-18,15740.0,stop_loss,032640,LG유플러스,6466767600975.0,0.023285195887872215,대형,중변동
2026-05-26,15930.0,2026-05-27,15045.0,holding_limit,032640,LG유플러스,6466767600975.0,0.023365926644586255,대형,중변동
2026-04-17,257000.0,2026-04-27,252500.0,holding_limit,005385,현대차우,6477116400000.0,0.03365001244265589,대형,중변동
2026-05-09,262000.0,2026-05-15,303285.71428571426,take_profit,005385,현대차우,6477116400000.0,0.021917490722708235,대형,중변동
2026-05-09,69100.0,2026-05-14,78757.14285714286,take_profit,064400,LG씨엔에스,8409700286400.0,0.01703602958224242,대형,저변동
2026-04-27,280000.0,2026-05-07,257500.0,holding_limit,087010,펩트론,6703738125000.0,0.028642799981925295,대형,중변동
2026-05-27,267500.0,2026-05-27,287500.0,holding_limit,087010,펩트론,6703738125000.0,0.04108551406844672,대형,고변동
2026-05-27,77100.0,2026-05-27,73700.0,holding_limit,078930,GS,6847863358600.0,0.022693225491532756,대형,중변동
2026-04-17,301500.0,2026-04-27,306000.0,holding_limit,310210,보로노이,5189412222000.0,0.038810442361121265,대형,고변동
2026-05-26,291000.0,2026-05-27,282000.0,holding_limit,310210,보로노이,5189412222000.0,0.03718338210438931,대형,고변동
2026-05-14,14370.0,2026-05-18,13111.42857142857,stop_loss,034220,LG디스플레이,7035000000000.0,0.02907540502448496,대형,중변동
2026-05-16,110600.0,2026-05-26,106900.0,holding_limit,454910,두산로보틱스,6579227970000.0,0.054013047285976376,대형,고변동
2026-04-13,18160.0,2026-04-23,18900.0,holding_limit,138930,BNK금융지주,5266249750010.0,0.01974376351619768,대형,저변동
2026-05-27,17460.0,2026-05-27,16970.0,holding_limit,138930,BNK금융지주,5266249750010.0,0.01401875356964386,대형,저변동
2026-05-08,75700.0,2026-05-14,68942.85714285714,stop_loss,241560,두산밥캣,6499041207000.0,0.020148013485984242,대형,저변동
2026-05-22,548000.0,2026-05-27,515000.0,holding_limit,039030,이오테크닉스,6344568250000.0,0.0710296312053541,대형,고변동
2026-04-17,11410.0,2026-04-27,11370.0,holding_limit,088980,맥쿼리인프라,5277720362860.0,0.004643289946124869,대형,저변동
2026-04-12,201000.0,2026-04-22,209500.0,holding_limit,001040,CJ,4933830361800.0,0.03568860006191466,대형,고변동
2026-04-13,131000.0,2026-04-23,145500.0,holding_limit,271560,오리온,5234583876800.0,0.01702295138509075,대형,저변동
2026-04-19,72100.0,2026-04-27,87357.14285714286,take_profit,450080,에코프로머티,4539299969400.0,0.035623400672666006,대형,중변동
2026-04-12,531000.0,2026-04-22,551000.0,holding_limit,002380,KCC,4794835968000.0,0.041394701732967346,대형,고변동
2026-05-17,276500.0,2026-05-27,276500.0,holding_limit,036570,NC,5956922083000.0,0.02549029933521805,대형,중변동
2026-04-12,146800.0,2026-04-14,186514.2857142857,take_profit,062040,산일전기,8205047800000.0,0.0530579798445117,대형,고변동
2026-04-30,243000.0,2026-05-10,253500.0,holding_limit,095340,ISC,4917717456000.0,0.04260829769850708,대형,고변동
2026-04-16,51400.0,2026-04-26,50400.0,holding_limit,251270,넷마블,3375704325200.0,0.021656502267702937,대형,중변동
2026-04-16,80700.0,2026-04-26,81800.0,holding_limit,489790,한화비전,3387770969000.0,0.03676898693371187,대형,고변동
2026-04-12,4820.0,2026-04-22,4840.0,holding_limit,088350,한화생명,4464244200000.0,0.03748023189310349,대형,고변동
2026-05-06,5120.0,2026-05-11,4732.857142857143,stop_loss,088350,한화생명,4464244200000.0,0.015305302325157822,대형,저변동
2026-05-15,5500.0,2026-05-25,5600.0,holding_limit,088350,한화생명,4464244200000.0,0.03465489837785424,대형,중변동
2026-05-09,82800.0,2026-05-19,86300.0,holding_limit,111770,영원무역,3558210880400.0,0.016007420813423698,대형,저변동
2026-04-12,3960.0,2026-04-22,4175.0,holding_limit,018880,한온시스템,5387878398000.0,0.026748979840116906,대형,중변동
2026-05-26,5150.0,2026-05-27,5250.0,holding_limit,018880,한온시스템,5387878398000.0,0.06780514728728988,대형,고변동
2026-04-18,51500.0,2026-04-22,46600.0,stop_loss,0009K0,에임드바이오,2489839698500.0,0.037962646695004855,대형,고변동
2026-04-19,179600.0,2026-04-29,184600.0,holding_limit,226950,올릭스,3597263307600.0,0.051765840669623434,대형,고변동
